frame,t,cx,cy,geo_cx,geo_cy,peak_x,peak_y,area,eq_radius,sigma_x,sigma_y,sigma_maj,sigma_min,orientation_deg,ellipticity,radius_mean,radius_std,radius_min,radius_max,boundary_roughness,circularity,perimeter,halo_area,halo_radius,core_flux,peak_intensity
3,0.12,1316.0753835903402,630.2321205699382,1316.076222302633,630.2333283667865,1318,496,46981.0,122.2886616281357,54.74814331709869,68.76678840984796,69.34025973204842,54.019984868254454,101.81262882349054,0.22094343059856003,121.28687343407691,11.22043779232399,101.06817170190769,139.22018149472746,2.461734714944265,0.9364640627013818,794.0,16248.0,139.0294032898424,11979968.0,255.0
4,0.16,1315.870251817786,630.0391745503218,1315.8705083306802,630.0398174678977,1318,496,47115.0,122.46293434157658,54.822604428036726,68.86305456306532,69.4230011846299,54.1117838048939,101.6733187999071,0.22054963223234814,121.4400842960972,11.21017143771454,101.52922647500856,138.97207660160637,2.473350922908326,0.9159187759825443,804.0,16458.0,139.18081293772957,12014203.0,255.0
5,0.2,1315.9289732560835,630.0278287702149,1315.9291709833606,630.028416178616,1318,496,47297.0,122.6992367002939,54.97014231030457,68.95164847935004,69.51321407567687,54.25826612143175,101.7085720878014,0.21945392911393125,121.6929028304208,11.19369245693719,101.47173869140941,139.39642195387415,2.54539856286631,0.9217483486541685,803.0,16480.0,139.485422839193,12060612.0,255.0
6,0.24,1315.8473841723999,630.0826750290629,1315.847729766225,630.0835302557177,1324,495,47396.0,122.82758389534064,54.99026959553326,69.07228289240112,69.63745576798024,54.272781099920735,101.70787422224922,0.2206380818858733,121.80602617879508,11.259330626516329,101.5481752376425,139.48965762246246,2.5488013729349794,0.8604089162441166,832.0,16584.0,139.61070204975033,12085850.0,255.0
7,0.28,1315.9371705017472,630.0482151523786,1315.9377314814815,630.0491372053872,1318,495,47520.0,122.98815305326661,55.08637763908227,69.14410889193688,69.71786772365147,54.35840060122304,101.79831887537578,0.22030890536283276,121.96224115031154,11.28311631637704,101.46177324588841,139.8322782990279,2.647401018942579,0.8523841785667763,837.0,16734.0,139.77743276994158,12117477.0,255.0
8,0.32,1315.980800129714,630.0683850586723,1315.9810725552052,630.0692323869612,1325,494,47550.0,123.02696894599674,55.12738650057216,69.12968124395113,69.71697311050904,54.38276594273513,101.9468328339114,0.21994941093422848,122.00465172793443,11.22008421348065,102.41265780468204,139.5904109410615,2.525664350778371,0.8549640042478118,836.0,16681.0,139.7910229702281,12125134.0,255.0
9,0.36,1315.8600986674373,629.98064951789,1315.8601877855556,629.9816406086263,1325,494,47714.0,123.23894639834191,55.19095406956763,69.28377262194957,69.85149253760643,54.47064851925158,101.7268228065841,0.2201934913570266,122.21945225933499,11.262880434791827,102.54057553540726,140.05195536618632,2.586817340835853,0.8377510178527986,846.0,16863.0,140.11109740711944,12166932.0,255.0
10,0.4,1315.9190191783264,629.9399651061312,1315.9188476194463,629.9405385034128,1325,494,47762.0,123.3009196393531,55.23171957426139,69.30509080738753,69.86949752943933,54.51597723542843,101.70127052142661,0.21974568068908373,122.27059873198309,11.274350383599826,101.48945888534587,139.94100469490544,2.6392855150204246,0.8712367444956057,830.0,16853.0,140.07215703390756,12179217.0,255.0
11,0.44,1315.9475981174373,629.91599562633,1315.9477396400166,629.9164503976559,1324,494,47780.0,123.3241515756809,55.2634865889458,69.29572108868717,69.87288752279075,54.531912678679724,101.8384074294127,0.21955547263031305,122.3084333042594,11.258381219010406,102.45912983581205,139.96449115148386,2.633565368732594,0.8611584322909839,835.0,16963.0,140.0575134028143,12183818.0,255.0
12,0.48,1315.9558248862852,629.8186521483346,1315.9559881241114,629.8190390566195,1325,494,47828.0,123.38608202061666,55.2835341340533,69.33214136215817,69.90368104838016,54.55905376836785,101.77841006642966,0.2195110049983252,122.35692837686749,11.239870206249808,103.06345605675399,140.02341005434846,2.5961913610012832,0.8599625319698074,836.0,16868.0,140.14245653995175,12196075.0,255.0
13,0.52,1315.9559389844358,629.7638081238051,1315.9560961386262,629.7642146040738,1324,494,48014.0,123.62576946263479,55.38835684115535,69.47714989406965,70.05038870818544,54.66157217642307,101.77951736019186,0.219682100492958,122.59262374570741,11.291734086234431,103.0623888519154,140.52709106349653,2.6854413982934493,0.8490291531794759,843.0,16901.0,140.46928110803316,12243499.0,255.0
14,0.56,1315.8950171421998,629.8507295036395,1315.8952720301722,629.8510345689817,1325,493,47991.0,123.59615587811095,55.36105460582412,69.4828322258704,70.06804608241997,54.61848825616986,101.88217362573499,0.2204936299790211,122.56412668366033,11.314541394138523,103.12423207027297,140.3261024913243,2.6317954761719733,0.8486224453333657,843.0,16811.0,140.502253127841,12237636.0,255.0
15,0.6,1315.933605703608,629.8555830843655,1315.9339940865366,629.8558905592804,1325,493,48026.0,123.64121721279976,55.37809226864829,69.50587762781204,70.08452771059216,54.64393016347328,101.81754343288218,0.22031392736039335,122.609321061793,11.298317956234378,103.085573184033,140.37513426727543,2.621085244087207,0.8512597467928043,842.0,16911.0,140.61015888817232,12246564.0,255.0
16,0.64,1315.967087518189,629.801828893276,1315.9672618428986,629.802074455923,1326,493,48109.0,123.7480113553991,55.4255684886264,69.57840721425447,70.16839808659147,54.67672542061806,101.91561191349403,0.22077848559198787,122.71081607686534,11.34535168220239,103.0519000284845,140.48455028575717,2.664469295914445,0.8650150006384432,836.0,16881.0,140.62969205848975,12267747.0,255.0
17,0.68,1315.993954259075,629.814045428413,1315.994222047342,629.8142771346324,1326,493,48287.0,123.9767295671115,55.56847742497989,69.65282266340833,70.23516932270427,54.83057886363932,101.86638849104324,0.21932872957544436,122.96441262177277,11.291227745738595,103.02590714836144,140.30851296947426,2.7034862431544844,0.8478116150198701,846.0,17010.0,140.83770779041967,12313131.0,255.0
18,0.72,1316.0387348104173,629.8157407692131,1316.0388132577482,629.8158852981338,1325,493,48334.0,124.03705107268287,55.60718537567189,69.66923965549297,70.2517487581557,54.869425147342504,101.87553090897684,0.21896001000298837,123.0139383028016,11.26624046961057,102.98110749405232,140.8788691099072,2.6718933569290044,0.8628567087420836,839.0,17009.0,140.80784242793766,12325141.0,255.0
19,0.76,1315.947505200788,629.7270621559969,1315.9476748988188,629.7272858676799,1327,492,48428.0,124.15760616292751,55.69248720651691,69.70269808257623,70.29799731500852,54.93915566094806,102.01425481619063,0.21848192325076898,123.14283389139062,11.248443707293541,103.07380656414298,140.8540485958675,2.736561771420387,0.8645347931261973,839.0,17106.0,140.94815457412884,12349090.0,255.0
20,0.8,1315.981148129026,629.6937478155216,1315.9815843260317,629.6942213597044,1326,492,48437.0,124.16914253180727,55.69945787228179,69.69273955948007,70.27368072163964,54.964691870369535,101.88440170024863,0.21784811460083298,123.16286203359479,11.214242077398616,103.04074912461,140.74647985148698,2.663638643333232,0.862637887539279,840.0,17111.0,140.89740682303963,12351347.0,255.0
21,0.84,1315.9911469377216,629.7509204988056,1315.9914043060726,629.7511772810462,1327,492,48629.0,124.41499690644837,55.7893969987985,69.85683655209758,70.43200627519107,55.06148311303891,101.80192186593402,0.21823207906497288,123.41241000505319,11.263566084302681,103.02976610934944,141.0601862724588,2.6968175199855082,0.849793682980031,848.0,17049.0,141.22988114563265,12400342.0,255.0
22,0.88,1315.8958774196713,629.847644291518,1315.896076460816,629.8478987632545,1326,492,48757.0,124.57863027286454,55.90597128052217,69.90782641462741,70.51629761170184,55.13649961662546,102.13823678301642,0.21810274384746176,123.55067398977181,11.243446316322663,104.12323602247687,141.38564206332268,2.6368837828006244,0.8264955829449188,861.0,17235.0,141.31460758669266,12432990.0,255.0
23,0.92,1315.9577224196198,629.8851792925987,1315.9580378008282,629.8853265548769,1333,492,48782.0,124.61056483227125,55.95649357575185,69.88137756956247,70.49806405167928,55.17752322529741,102.24203319155534,0.217318603460529,123.59719834323437,11.200386713800524,104.18753436944365,141.1504780176719,2.6347922479496977,0.8405309787659522,854.0,17375.0,141.2717799195136,12439359.0,255.0
24,0.96,1315.956503959479,629.7777600155986,1315.9567151025763,629.7780214375014,1326,493,48793.0,124.62461344600311,55.92995168795833,69.93424812657695,70.54527014601928,55.15726078108072,102.16073772341852,0.21812956890075597,123.61407288717376,11.268808035465218,104.0637536007518,141.25634709359585,2.675216298846571,0.8506521514071528,849.0,17302.0,141.31712463269233,12442167.0,255.0
25,1.0,1315.8389943908883,629.8477849503138,1315.8392451439918,629.848087275109,1326,493,48857.0,124.70631944405007,56.01865453354632,69.91113721178856,70.51310847750673,55.259010983130196,102.11680483442768,0.21632995373112085,123.69192741840816,11.19369983721527,104.18010638638738,141.39808928445012,2.7163803254464702,0.8320517388383033,859.0,17306.0,141.39427577842096,12458479.0,255.0
26,1.04,1315.881220230502,629.8499143415318,1315.8814284252533,629.8501586002251,1332,492,48865.0,124.71652893009383,55.983332109492494,69.97582760203152,70.59327192224407,55.20271625548036,102.22377934515843,0.21801731592375895,123.69218308526773,11.281904481880593,104.13785453192935,141.79111467101552,2.6918498805870246,0.839992750002614,855.0,17209.0,141.45196274658568,12460531.0,255.0
27,1.08,1315.8938561209688,629.7482990977833,1315.8940274464223,629.7485165473787,1326,492,49041.0,124.94092655466935,56.11988101771159,70.04374423227178,70.65033519208805,55.35428880189515,102.14742148104736,0.21650352186730837,123.93282067991618,11.196051458993592,104.12688064394106,141.84542217639756,2.7163227461000448,0.8569933991450307,848.0,17159.0,141.63061566059676,12505422.0,255.0
28,1.12,1315.8615472060555,629.8458833226384,1315.8617796782733,629.8461209529628,1326,492,49110.0,125.02879072632015,56.1846995662189,70.06159034185652,70.67525430936679,55.410787170755206,102.22982872856025,0.21598036381721997,124.0254031069295,11.165667203762643,104.28155403137623,141.57898099122835,2.662244723886174,0.8541653437663377,850.0,17205.0,141.69660461482405,12523012.0,255.0
29,1.16,1315.8276763638685,629.8636817249144,1315.8280890409565,629.8639946233275,1326,492,49101.0,125.01733368421479,56.18665554501699,70.05587338451653,70.68349390425588,55.3950299800336,102.3609162071195,0.21629468323865297,124.0117415135706,11.18877135921357,104.19117149713779,141.63494352960603,2.696324605878212,0.8440496064233778,855.0,17112.0,141.74050900883907,12520691.0,255.0
30,1.2,1315.8111514389666,629.88256895772,1315.8114608982316,629.8828676665107,1325,492,49141.0,125.0682458378531,56.24148256337415,70.04812558813796,70.69016060906199,55.43235023344119,102.51481802100098,0.21584065227975802,124.05989401966968,11.160935193924548,104.20739860261622,142.192693320414,2.667312570453388,0.8648492956972432,845.0,17204.0,141.74830657276254,12530903.0,255.0
31,1.24,1315.8772669331122,629.823343354901,1315.877614977615,629.8236060236061,1324,492,49140.0,125.06697328660142,56.21835050123641,70.0745823526891,70.70158589990179,55.42775276179328,102.35986410744651,0.21603239791159656,124.05008112351334,11.1968876595617,104.1422314520354,141.98796121066275,2.721123858079818,0.8751579535000138,840.0,17258.0,141.75012138915264,12530641.0,255.0
32,1.28,1315.8661697972652,629.8370018594478,1315.8666909709564,629.837262526836,1324,492,49374.0,125.36439813774277,56.38131789391222,70.19429589992376,70.81109050944303,55.604690856113095,102.28082151704162,0.21474601709886232,124.35695737980483,11.154113670067726,105.15292426125151,141.66723866986416,2.685990703527469,0.8587570694994737,850.0,17178.0,141.98514122404978,12590297.0,255.0
